,,Name,Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
17,,@Fam2014Ch,"2025-11-18 00:07:40",1,yes,no,"El PEREJIL zurdo comunista TRATAAAAANDO de justificar el MEGA AJÍ en el CORTACHURROS 😂😂😂😂 🍿🍿🍿🍿🍿🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️🌶️",UCm9wVoiBKpblgF0ps81aqJg,UgzcExixXJ7laNsc1dZ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzcExixXJ7laNsc1dZ4AaABAg
18,,@JaimeRodriguezOlea-fb7hx,"2025-11-18 00:07:40",1,yes,no,"Labee es un pelota",UCVsEPz8D4_uSnIxtyYX1UeQ,UgycEV3-ibc0VNsv1L14AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgycEV3-ibc0VNsv1L14AaABAg
19,,@JoseluisSanMartin-s8c,"2025-11-18 00:07:40",1,yes,no,"Parissi depende el apoyo que va ser tiene que tener un puesto en el gobierno tiene buenas ideas",UCa9JgxFrR9kbXvQWVGE-M0A,Ugz0fTaMsoNaCPZjhP54AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugz0fTaMsoNaCPZjhP54AaABAg
20,,@MarcelaSilva-pw5yi,"2025-11-18 00:07:40",3,yes,no,"Pucha si este tipo tiene toda sus empresa en el extranjero y su dinero en paraísos fiscales.Le importara que pase con el país.Queremos volver a trabajar de sol a sol sin poder tener tiempo con la familia.Queremos que haga un recortes en los gastos sociales? NOS ESTAN DICIENDO EN NUESTRAS CARAS TRABAJA,TRABAJA,TRABAJA QUE TE QUITARE TODOS TUS BENEFIOS QUE HAZ LOGRADO TENER EN MUCHOS AÑOS.Que quieren un Miley? Por último votar por el que no nos amenaza.",UCSErNrYB0Bh4E4cAzLtXRLQ,Ugx7SSg5E2Ve9jM63DB4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugx7SSg5E2Ve9jM63DB4AaABAg
21,,@carloscorderogarcia1981,"2025-11-18 00:07:40",1,yes,no,"25:45 Pepe Auth mandando a cerrar el orto",UCTMGO4RSuldhj1jz8K0aAUA,Ugy8k2CS0CLoSCyqyKd4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugy8k2CS0CLoSCyqyKd4AaABAg
22,,@conexiontv2925,"2025-11-18 00:07:40",1,yes,no,"Que patetico el comunista ....no reconoce que lo patearon en el suelo...y que boric es un desastre que se lleno los bolsillos",UCPb0m-PMPNe0ncPJuslWiAw,UgwAiAUiceEkuKOn-tB4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwAiAUiceEkuKOn-tB4AaABAg
23,,@dannielawalk,"2025-11-18 00:07:40",1,yes,no,"El socialismo siempre será opresión, facilidades, apuesten por el gobierno repúblicano!",UC_2lTSC6_HF1YKe1b2WAy5A,UgwaZs6LJyK8MZJrICt4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgwaZs6LJyK8MZJrICt4AaABAg
24,,@haglaz1310,"2025-11-18 00:07:40",1,yes,no,"Chile cada vez más parecido a Macondo",UCTFp3oaz-Ka7oW2VPLvXPCw,UgzcctGX8SdkspPDcXd4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgzcctGX8SdkspPDcXd4AaABAg
25,,@hectorgomezjofre5358,"2025-11-18 00:07:40",1,yes,no,"Núñez estaría ganando con un 15%, 20%, 30%, la realidad para él es irrelevante",UCBXPa1JL9YutR-12co94v6w,Ugzg7yWYhDQiuqIy_WF4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugzg7yWYhDQiuqIy_WF4AaABAg
26,,@isaipezo4073,"2025-11-18 00:07:40",1,yes,no,"Nuñez: la MARXISTA no llega ni a liderar sus propios.",UCdLNfybRS_UNXXsN-3gNMmA,UgyizA161wEnCeXJEpJ4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=UgyizA161wEnCeXJEpJ4AaABAg
27,,@juafre3024,"2025-11-18 00:07:40",1,yes,no,"Están tristes, están tristes..............................jajajajajajaja",UCmfyfwyRaNMrY2UGkuwr6cg,Ugyvz3-aQ5FCkjxndxN4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugyvz3-aQ5FCkjxndxN4AaABAg
28,,@mcarrasco45,"2025-11-18 00:07:40",1,yes,no,"Los invitados son una manga de Charlatanes y no representan a nadie PLR a todos esos 👎👎👎👎👎👎👎👎",UC1cozjd8R2GhH_y3v9okNMg,Ugx3oSiwi9PP0vPye7l4AaABAg,https://www.youtube.com/watch?v=mswdeg2APbw&lc=Ugx3oSiwi9PP0vPye7l4AaABAg
